Region_ID,Region_name,Region_class,Process_ID,TAST_Status,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
24,Region 24,Unclassified regions,96,ON,0.389859,1467,1535,0,20230606, 15:17:22.5340,999,999,9360511.943,27,77.147021,4.844865,0.641796,0.9076,0.856098,1.298194,0,-90,4.434571,7.506,1.086311,1.445474,4.817324,6.8122,0.389859,-9999,4.372466,6.440949,1.388651,4.709887,-9999,-9999,-9999,-9999,-9999,-9999
29,Region 29,Unclassified regions,96,ON,0.509053,2727,2823,0,20230606, 15:19:42.4400,999,999,147264925.3,80,82.228602,6.966126,0.86126,4.2098,4.157799,54.346266,0,90,-3.462777,10.57,2.628964,10.143378,9.103516,44.4975,0.509053,-9999,6.560367,9.948272,4.166369,-1.893962,-9999,-9999,-9999,-9999,-9999,-9999
30,Region 30,Unclassified regions,95,ON,0.495545,558,692,0,20230606, 15:22:51.3670,999,999,315036417.1,102,85.155988,7.479843,0.663343,1.8879,4.635517,33.869721,0,90,-7.13711,14.769,1.372673,3.299578,9.796919,27.882,0.495545,-9999,6.964114,10.562087,3.081029,-5.381421,-9999,-9999,-9999,-9999,-9999,-9999
31,Region 31,Unclassified regions,95,ON,0.713168,732,773,0,20230606, 15:23:05.3600,999,999,45810603.06,42,81.324979,5.576895,0.872318,1.4377,3.157501,5.789746,0,90,-3.937127,4.519,1.001239,1.616087,3.942005,6.4969,0.713168,-9999,5.504188,7.181714,3.427276,-3.723508,-9999,-9999,-9999,-9999,-9999,-9999
34,Region 34,Unclassified regions,95,ON,0.481356,1892,2064,0,20230606, 15:25:20.3420,999,999,231858678,128,83.109315,6.970949,0.766975,2.6381,2.271786,70.424356,0,90,-4.786747,18.97,3.039543,8.867684,14.549521,50.044,0.481356,-9999,6.753604,9.73247,3.25531,-4.372514,-9999,-9999,-9999,-9999,-9999,-9999
35,Region 35,Unclassified regions,95,ON,0.529579,2791,2829,0,20230606, 15:26:51.6250,999,999,138792167.3,39,81.96178,8.920964,0.649479,2.2412,2.742479,11.917857,0,90,-0.925773,4.134,2.900221,2.046611,2.684945,9.2653,0.529579,-9999,8.390697,9.078156,6.857015,-2.221141,-9999,-9999,-9999,-9999,-9999,-9999
36,Region 36,Unclassified regions,95,ON,0.488911,2876,2920,0,20230606, 15:27:01.2860,999,999,120706911.1,44,81.778658,4.287083,0.502333,0.9818,1.947713,3.840742,0,90,-1.033406,4.906,2.384779,1.850023,2.464446,4.8169,0.488911,-9999,4.158784,4.668682,3.747521,-0.805733,-9999,-9999,-9999,-9999,-9999,-9999
40,Region 40,Unclassified regions,95,ON,0.511208,2947,2988,0,20230606, 15:27:08.9520,999,999,197638361.4,34,82.677686,6.476193,0.90676,5.8437,4.282656,46.785563,0,90,-0.990056,4.576,4.191009,26.728797,4.149334,26.7405,0.511208,-9999,6.200084,7.278543,5.447036,-0.994698,-9999,-9999,-9999,-9999,-9999,-9999
42,Region 42,Unclassified regions,95,ON,0.565345,3459,3601,0,20230606, 15:28:10.8640,999,999,232284734.8,134,82.900625,5.483418,0.551382,1.1972,2.786135,8.51332,0,90,-1.864435,15.637,4.624433,7.577791,8.621955,18.7213,0.565345,-9999,5.053826,7.510045,2.943498,-1.146405,-9999,-9999,-9999,-9999,-9999,-9999
13,Region 13,Unclassified regions,86,ON,0.449276,1981,2023,0,20230606, 16:46:22.2040,999,999,93559740.86,34,85.522694,14.358679,0.846904,6.2662,2.625514,112.433397,0,-90,3.930483,4.641,1,7.133365,3.930483,29.0814,0.449276,-9999,14.070335,16.261104,11.443108,4.055726,-9999,-9999,-9999,-9999,-9999,-9999
43,Region 43,Unclassified regions,94,ON,0.270282,3083,3239,0,20230606, 16:55:04.8970,999,999,7174910699,87,101.171301,21.338357,0.317428,4.1019,2.212118,137.420182,0,90,-5.00642,17.423,1.10469,3.883191,5.53054,71.467,0.270282,-9999,19.996752,24.016412,15.310345,-8.706067,-9999,-9999,-9999,-9999,-9999,-9999
22,Region 22,Unclassified regions,175,ON,0.308996,1302,1430,0,20230612, 22:04:22.0140,999,999,35703426.92,72,77.698759,10.602392,0.388536,1.036,1.47759,10.377735,0,90,-5.132327,13.998,1.059699,1.222881,5.438722,14.5018,0.308996,-9999,10.200669,12.493638,8.080957,-3.317468,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,178,ON,0.309086,394,548,0,20230613, 00:15:18.3180,999,999,47089013.65,79,79.656141,12.139156,0.325286,1.1959,1.549257,11.819358,0,90,-0.999758,16.945,5.513303,2.078016,5.511966,20.264,0.309086,-9999,11.475443,13.543265,9.782184,-2.422,-9999,-9999,-9999,-9999,-9999,-9999
25,Region 25,Unclassified regions,176,ON,0.361668,2015,2159,0,20230613, 01:11:48.6290,999,999,70642093.52,97,76.984087,5.606071,0.457793,1.9639,3.313088,61.770579,0,90,-6.62485,15.697,1.084701,3.699064,7.185979,30.827,0.361668,-9999,4.85671,9.344169,2.11456,-7.229609,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,179,ON,0.293236,2212,2483,0,20230613, 01:36:30.6220,999,999,20416284.73,72,76.592318,11.53264,0.14557,1.3109,0.656982,12.027555,0,-90,1.549046,29.648,2.786149,2.70413,4.315873,38.8669,0.293236,-9999,10.602804,11.717811,9.601557,1.533818,-9999,-9999,-9999,-9999,-9999,-9999
45,Region 45,Unclassified regions,93,ON,0.339216,1292,1347,0,20230613, 02:13:22.7550,999,999,188044271.5,42,84.542103,11.30295,0.35136,1.592,1.553551,14.425324,0,90,-0.341879,6.058,6.226006,1.509627,2.128542,9.6445,0.339216,-9999,9.871667,11.757867,8.427877,-3.189853,-9999,-9999,-9999,-9999,-9999,-9999
14,Region 14,Unclassified regions,85,ON,0.520579,3816,3841,0,20230613, 03:26:14.0640,999,999,47544182.8,20,84.064959,5.050179,0.666991,0.8995,1.657118,1.667491,0,-90,1.714872,2.753,1.070766,1.443506,1.836228,2.4765,0.520579,-9999,3.704575,4.349914,3.114359,1.164208,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,92,ON,0.595171,2252,2278,0,20230620, 22:31:45.0630,999,999,288104135.2,27,89.172953,15.725631,0.928619,1.412,1.471612,2.428176,0,90,-2.780285,2.994,1,1.015361,2.780285,4.2274,0.595171,-9999,12.687416,14.809961,10.735149,-4.074812,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,91,ON,0.463363,734,748,0,20230621, 00:00:33.3230,999,999,14072174.9,15,74.888917,5.14571,0.274964,1.2393,0.868889,2.883626,0,-90,-0.275965,1.627,1.621102,1.017033,0.447367,2.0163,0.463363,-9999,4.838629,5.042502,4.574602,0.442693,-9999,-9999,-9999,-9999,-9999,-9999
